"","vacc","z.yr","vacc_type","group","pyears","event","Rate","RR_est"
"150","v2","34+ thru  41","PB","65+",1715.7,0,0,"0.99 (0, Inf)"
"151","v1","41+ thru  48","PB","65+",1689.9,2,1,NA
"152","v2","41+ thru  48","PB","65+",1703.1,2,1,"0.99 (0.14, 7.04)"
"153","v1","48+ thru  55","PB","65+",1630.9,1,1,NA
"154","v2","48+ thru  55","PB","65+",1644.2,2,1,"1.98 (0.18, 21.88)"
"155","v1","55+ thru  62","PB","65+",1282.8,2,2,NA
"156","v2","55+ thru  62","PB","65+",1293.5,2,2,"0.99 (0.14, 7.04)"
"157","v1","62+ thru  69","PB","65+",1012.3,1,1,NA
"158","v2","62+ thru  69","PB","65+",1020.7,1,1,"0.99 (0.06, 15.86)"
"159","v1","69+ thru 183","PB","65+",2801.2,4,1,NA
"160","v2","69+ thru 183","PB","65+",2807.9,3,1,"0.75 (0.17, 3.34)"
