"","vacc","z.yr","vacc_type","group","pyears","event","Rate","RR_est"
"140","vacc","69+ thru 142","AZ","65+",2587.6,4,2,"2.01 (0.37, 10.97)"
"141","uv","-1+ thru  13","PB","65+",7694.3,218,28,NA
"142","vacc","-1+ thru  13","PB","65+",7704.5,64,8,"0.29 (0.22, 0.39)"
"143","uv","13+ thru  20","PB","65+",3169.9,63,20,NA
"144","vacc","13+ thru  20","PB","65+",3181.4,43,14,"0.68 (0.46, 1)"
"145","uv","20+ thru  27","PB","65+",3056.6,46,15,NA
"146","vacc","20+ thru  27","PB","65+",3071.3,22,7,"0.48 (0.29, 0.79)"
"147","uv","27+ thru  34","PB","65+",3019.5,27,9,NA
"148","vacc","27+ thru  34","PB","65+",3036.5,32,11,"1.18 (0.71, 1.97)"
"149","uv","34+ thru  41","PB","65+",2989.5,31,10,NA
"150","vacc","34+ thru  41","PB","65+",3007.5,17,6,"0.55 (0.3, 0.98)"
"151","uv","41+ thru  48","PB","65+",2955.3,27,9,NA
"152","vacc","41+ thru  48","PB","65+",2973.7,13,4,"0.48 (0.25, 0.93)"
"153","uv","48+ thru  55","PB","65+",2907.1,10,3,NA
"154","vacc","48+ thru  55","PB","65+",2925.2,7,2,"0.7 (0.26, 1.83)"
"155","uv","55+ thru  62","PB","65+",2701,11,4,NA
"156","vacc","55+ thru  62","PB","65+",2716.5,6,2,"0.54 (0.2, 1.47)"
"157","uv","62+ thru  69","PB","65+",2317.7,7,3,NA
"158","vacc","62+ thru  69","PB","65+",2328.8,5,2,"0.71 (0.23, 2.24)"
"159","uv","69+ thru 142","PB","65+",2217.7,7,3,NA
"160","vacc","69+ thru 142","PB","65+",2170.3,6,3,"0.88 (0.29, 2.61)"
